location,event,date,artist,genre
Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2012-05-06,CIRO CARBONE,
Bale (Basel),JAZZFESTIVAL BASEL,2012-05-06,RICHARD GALLIANO,
