location,event,date,artist
Geneve,FETES DE GENEVE,2015-07-17,GRUPO COMPAY SEGUNDO
Fribourg,LES GEORGES,2015-07-17,WAZOMBA OVERDRIVE ORCHESTRA
Zurich,LIVE AT SUNSET,2015-07-17,ANASTACIA
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,"LOUIS, MATTHIEU, JOSEPH & ANNA CHEDID"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,SOMI
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,AaRON
Locarno,MOON AND STARS,2015-07-17,LO&LEDUC
Geneve,MUSIQUES EN ETE,2015-07-17,ALVIN YOUNGBLOOD HART
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-17,ELYNN THE GREEN
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-17,ERNIE WATTS
