location,event,date,artist,genre
Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2009-05-02,GEORGE VASSILEV,
Bale (Basel),JAZZFESTIVAL BASEL,2009-05-02,TAMBOURS DE BRAZZA,
