location,event,date,artist,genre
Winterthur,AFRO - PFINGSTEN,2006-06-03,KHALED,
Duedingen,BAD BONN KILBI,2006-06-03,ANIMAL COLLECTIVE,
La Chaux du Milieu,CORBAK,2006-06-03,LO JO,
Neuchatel,FESTI NEUCH,2006-06-03,WILLIAM WHITE,
Lutry,PULLY A L'HEURE DU QUEBEC,2006-06-03,SUROIT,
