location,event,date,artist,genre
Geneve,FETES DE GENEVE,2014-08-07,SMELLS LIKE K. SPIRIT,
Sion,GUINNESS IRISH FESTIVAL,2014-08-07,THE YOUNG DUBLINERS,
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-07,AGNOSTIC FRONT,
