location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-09,TOO MANY ZOOZ
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-09,SINKANE
Zurich,LIVE AT SUNSET,2015-07-09,ZZ TOP
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-09,ALABAMA SHAKES
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-09,AVISHAI COHEN (contrebasse)
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-09,JAMIE XX
Geneve,MUSIQUES EN ETE,2015-07-09,FRANCOIS GUYE
Frauenfeld,OPENAIR FRAUENFELD,2015-07-09,TRAVIS SCOTT
Sierre,SIERRE BLUES FESTIVAL,2015-07-09,MOUNTAIN MEN
Munchenstein,SUMMERSTAGE BASEL,2015-07-09,MAX HERRE & KAHEDI RADIO ORCHESTRA
