location,event,date,artist,genre
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,BARCELLA,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,MAIA VIDAL,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,LES PETITS CHANTEURS A LA GUEULE DE BOIS,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,THE VIENNA VEGETABLE ORCHESTRA,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,MAUD LIARDON,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,ARNAUD DUCRET,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,GREIS,
Bern,GURTEN FESTIVAL BERN,2012-07-15,PHENOMDEN,
Zurich,LIVE AT SUNSET,2012-07-15,MORCHEEBA,
Locarno,MOON AND STARS,2012-07-15,UNHEILIG,
Geneve,MUSIQUES EN ETE,2012-07-15,WEST EASTERN DIVAN ORCHESTRA,
