location,event,date,artist,genre
Lausanne,ELECTROSANNE,2015-09-04,NINA KRAVIZ,
Geneve,FESTIVAL DE LA BATIE,2015-09-04,PREOCCUPATIONS,
Veyras en Valais,TOHU BOHU A VEYRAS,2015-09-04,CHARLIE WINSTON,
