location,event,date,artist,genre,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2011-07-03,CHEWY,,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2011-07-03,MR DAME,,"(46.5196535, 6.6322734)"
Montreux,MONTREUX JAZZ FESTIVAL,2011-07-03,BB KING,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2011-07-03,BILAL,,"(46.4312213, 6.9106799)"
Saint Gallen,OPEN AIR DE SAINT GALLEN,2011-07-03,TRAKTORKESTAR,,"(47.4244818, 9.3767173)"
Saint Gallen,OPEN AIR DE SAINT GALLEN,2011-07-03,BEIRUT,,"(47.4244818, 9.3767173)"
Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2011-07-03,OY,,"(46.29413110000001, 7.533536199999999)"
