location,event,date,artist,genre
Geneve,FESTIVAL DE LA BATIE,2016-09-03,CAROLINE BERGVALL,
Meyrin,FESTIVAL DE LA BATIE,2016-09-03,GUILHERME BOTELHO,
Geneve,FESTIVAL DE LA BATIE,2016-09-03,LUBOMYR MELNYK,
Les Acacias,FESTIVAL DE LA BATIE,2016-09-03,LISBETH GRUWEZ,
Les Acacias,FESTIVAL DE LA BATIE,2016-09-03,BORIS CHARMATZ,
Geneve,FESTIVAL DE LA BATIE,2016-09-03,JACQUES,
Bulle,FRANCOMANIAS,2016-09-03,BROKEN BACK,
Bulle,FRANCOMANIAS,2016-09-03,KASSETTE,
Montreux,SEPTEMBRE MUSICAL,2016-09-03,MUSICA AETERNA,
Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-03,2 MANY DJ'S,
