location,event,date,artist,genre,coordinates
Seynod,JAZZCONTREBAND,2010-10-14,RED PLANET,,"(45.8890357, 6.102035799999999)"
Villeurbanne,ZIKEMO,2010-10-14,DIPLOE,,"(45.771944, 4.8901709)"
