location,event,date,artist,genre
Denens,BERLES ROCK FESTIVAL,2009-07-18,DUET,
Lucerne,BLUE BALLS,2009-07-18,CHURCHHILL,
Lucerne,BLUE BALLS,2009-07-18,A FINE FRENZY,
Lucerne,BLUE BALLS,2009-07-18,HURLEY AND THE BLUE DOTS,
Bern,GURTEN FESTIVAL BERN,2009-07-18,PHENOMEN,
Zurich,LIVE AT SUNSET,2009-07-18,JAMIE CULLUM,
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-18,PRINCE,
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-18,DONNA SUMMER,
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-18,THE BEWITCHED HANDS,
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-18,PRINCE,
Geneve,MUSIQUES EN ETE,2009-07-18,OPERA DE CHAMBRE DE GENEVE,
