location,event,date,artist,genre,coordinates
Ferney Voltaire,JAZZCONTREBAND,2014-10-18,STEPHANE BELMONDO,,"(46.25763200000001, 6.108669)"
Geneve,JAZZCONTREBAND,2014-10-18,SAMUEL BLASER,,"(46.2043907, 6.1431577)"
Collonge Bellerive,JAZZCONTREBAND,2014-10-18,SAMBA DIABATE,,"(46.2514024, 6.2022904)"
Lausanne,LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),2014-10-18,COBRA,,"(46.5196535, 6.6322734)"
