location,event,date,artist,genre,coordinates
Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2010-08-22,MAURO LO CONTE,,"(46.4829113, 6.458343500000001)"
Gampel,OPEN AIR DE GAMPEL,2010-08-22,CHICA TORPEDO,,"(46.3157745, 7.741944099999999)"
