location,event,date,artist,genre,coordinates
Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-25,KEI KOITO,,"(46.5196535, 6.6322734)"
Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-25,BABA TOURE,,"(46.2043907, 6.1431577)"
