location,event,date,artist
Pully,FESTIVAL'ENTRE2,2009-06-13,MICHAEL VON DER HEIDE
Interlaken,GREENFIELD,2009-06-13,FAITH NO MORE
Sierre,SISMICS FESTIVAL,2009-06-13,DJ ALFREDO BARCOS
Sierre,SISMICS FESTIVAL,2009-06-13,EDIT PRESENT
Sierre,SISMICS FESTIVAL,2009-06-13,MONG
Sierre,SISMICS FESTIVAL,2009-06-13,SKATANGA
Sierre,SISMICS FESTIVAL,2009-06-13,KOLO
Sierre,SISMICS FESTIVAL,2009-06-13,8 DAYS A WEEK
Sierre,SISMICS FESTIVAL,2009-06-13,ALOAN
Geneve,VILLAGE TROPICAL,2009-06-13,RUMBA STEREO
