location,event,date,artist,genre
Thun,AM SCHLUSS,2013-07-26,GUSTAV',
Lucerne,BLUE BALLS,2013-07-26,TIEMO HAUER,
Lucerne,BLUE BALLS,2013-07-26,PATRICK WOLF,
Lucerne,BLUE BALLS,2013-07-26,SEPTETO INTERNACIONAL,
Geneve,FETES DE GENEVE,2013-07-26,ALEPOK,
Gunzgen,MOTION OPENAIR,2013-07-26,STEVE AOKI,
Geneve,MUSIQUES EN ETE,2013-07-26,BERTRAND BELIN,
Lumnezia,OPEN AIR LUMNEZIA,2013-07-26,THE HIVES,
Etziken,OPENAIR ETZIKEN,2013-07-26,77 BOMBAY STREET,
Nyon,PALEO FESTIVAL,2013-07-26,CHRISTINE SALEM,
