location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2014-07-10,SUSHEELA RAMAN
Zurich,LIVE AT SUNSET,2014-07-10,RODRIGO Y GABRIELA
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,HEMU JAZZ ORCHESTRA
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,BANKS
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,SWEET GEORGIA BROWN
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,DARKSIDE (NICOLAS JAAR & DAVE HARRINGTON)
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,MANU LANVIN AND THE DEVIL BLUES
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,JERRY JOXX
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-10,BARNT
Sierre,SIERRE BLUES FESTIVAL,2014-07-10,URIAH HEEP
