location,event,date,artist,genre
Lucelle,LUCELLE SONORE,2011-07-08,PEP'S,
Montreux,MONTREUX JAZZ FESTIVAL,2011-07-08,ZIGGY MARLEY,
Montreux,MONTREUX JAZZ FESTIVAL,2011-07-08,DONAVON FRANKENREITER,
Locarno,MOON AND STARS,2011-07-08,BLIGG,
Geneve,MUSIQUES EN ETE,2011-07-08,IMPERIAL TIGER ORCHESTRA,
