location,event,date,artist,genre
Pully,PULLY A L'HEURE DU QUEBEC,2014-06-11,ISABELLE BOULAY,
Pully,PULLY A L'HEURE DU QUEBEC,2014-06-11,ALEXANDRE POULIN,
