location,event,date,artist,genre
Zurich,ENERGY,2013-08-10,DAVID GUETTA,
Geneve,FETES DE GENEVE,2013-08-10,DJ FABRICE,
Geneve,FETES DE GENEVE,2013-08-10,SUMO,
Sion,GUINNESS IRISH FESTIVAL,2013-08-10,THE BONNY MEN,
Porrentruy,ROCK AIR PORRENTRUY,2013-08-10,LES WAMPAS,
Zurich,STREET BASS FESTIVAL,2013-08-10,FUKKK OFFF,
