location,event,date,artist,genre
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-13,COCOROSIE,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-13,CAPACOCHA,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-13,HOQUETS,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-13,MARTIN O,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-13,THE CRANE ANGELS,
Bern,GURTEN FESTIVAL BERN,2012-07-13,DICK BRAVE & THE BACKBEATS,
Zurich,LIVE AT SUNSET,2012-07-13,ELTON JOHN,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-13,CHIC FEAT. NILE RODGERS,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-13,THE TING TINGS,
Locarno,MOON AND STARS,2012-07-13,HERBERT GRÃ–NEMEYER,
Geneve,MUSIQUES EN ETE,2012-07-13,YVES JAMAIT,
