location,event,date,artist,genre
Ivry sur Seine,FESTIVAL OUF,2016-07-08,BECOTS DA LAPPA,
Avully,GENA FESTIVAL,2016-07-08,THE REBELS OF TIJUANA,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-08,QUINCY JONES,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-08,JACK BROADBENT,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-08,JEANNE ADDED,
Veytaux,MONTREUX JAZZ FESTIVAL,2016-07-08,NIK BARTSCH'S,
Locarno,MOON AND STARS,2016-07-08,ELLIE GOULDING,
Frauenfeld,OPENAIR FRAUENFELD,2016-07-08,HOPSIN,
