location,event,date,artist,genre
Le Noirmont,CHANT DU GROS,2016-09-10,JEHRO,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,CAROLINE BERGVALL,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,CAROLINE BERGVALL,
Onex,FESTIVAL DE LA BATIE,2016-09-10,BERTRAND BOSSARD,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,POL,
Le Lignon,FESTIVAL DE LA BATIE,2016-09-10,LAURENCE YADI,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,MILO RAU,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,POL,
Plan les Ouates,FESTIVAL DE LA BATIE,2016-09-10,RACHID OURAMDANE,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,DIMITRI DE PERROT,
Geneve,FESTIVAL DE LA BATIE,2016-09-10,"RYOJI IKEDA / ""SUPERPOSITION""",
Geneve,FESTIVAL DE LA BATIE,2016-09-10,KATE WAX aka AISHA DEVI,
Carouge,MURS DU SON A CAROUGE,2016-09-10,LADYBIRDS,
