location,event,date,artist,genre
Winterthur,AFRO - PFINGSTEN,2014-06-05,EARTH WIND & FIRE EXPERIENCE FEATURING AL MCKAY,
La Chaux du Milieu,CORBAK,2014-06-05,JEANNE CHERHAL,
Pully,PULLY A L'HEURE DU QUEBEC,2014-06-05,SUROIT,
