location,event,date,artist,genre
Denens,BERLES ROCK FESTIVAL,2010-07-30,PIERRE BASTIEN,
Lucerne,BLUE BALLS,2010-07-30,PETER CINCOTTI,
Geneve,MUSIQUES EN ETE,2010-07-30,BATAMBO,
