location,event,date,artist,genre,coordinates
Bulle,FRANCOMANIAS,2016-09-01,MINUIT,,"(46.6154512, 7.057726799999999)"
Bulle,FRANCOMANIAS,2016-09-01,ENSEMBLE VOCAL UTOPIE,,"(46.6154512, 7.057726799999999)"
Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-01,PATRICK BRUEL,,"(46.3045233, 7.5389954)"
