location,event,date,artist,genre,coordinates
Avully,GENA FESTIVAL,2013-07-05,RED DOG BLUES BAND,,"(46.1696093, 6.0013782)"
Lugano,LUGANO ESTIVAL JAZZ,2013-07-05,ORCHESTRE DE LA SUISSE ITALIENNE / ORCHESTRA DELLA SVIZZERA ITALIANA,,"(46.0036778, 8.951051999999999)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,DADDY FRED BERNARD,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,REDWOOD,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,LEONARD COHEN,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,MICHAEL WOLLNY,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,BLACK REBEL MOTORCYCLE CLUB,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,ARTONWALL,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,LEE VAN DOWSKI,,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2013-07-05,AMY MACDONALD,,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2013-07-05,MAZALDA,,"(46.2043907, 6.1431577)"
Zurich,TOUCH THE LAKE,2013-07-05,ONYX,,"(47.3768866, 8.541694)"
