location,event,date,artist,genre,coordinates
Montreux,MONTREUX JAZZ FESTIVAL,2010-07-03,WILLY MASON,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2010-07-03,THE DEAD WEATHER,,"(46.4312213, 6.9106799)"
