artists,date,event,genre,location
['Gletscher '],2014-01-18,Gletscher,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"['The Mean Devils ', "" Rockin' Carbonara ""]",2014-01-18,Trash-Town-Rockabilly-Day,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Baden
"['Red Fang ', ' The Shrine ', ' Lord Dying ']",2014-01-18,Red-Fang,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",null
"[' Pablo Nouvelle ', ' Simon Borer ', ' Mario H?nni ']",2014-01-18,Z?ri-Wescht-z'B?rn-Oscht,"['Hip', 'Hop', ""R'n'B""]",Z?rich
"[' Jonathan Maag ', ' Julian Hesse ', ' Andrey Tatarinets ', ' Domi Chansorn ']",2014-01-18,Z?ri-Wescht-z'B?rn-Oscht,"['Jazz', 'Blues', 'Soul']",Z?rich
"['Kid Fonque ', ' DJ Oil ']",2014-01-18,Kid-Fonque,"['Hip', 'Hop', ""R'n'B""]",null
['Grossstadtgefl?ster '],2014-01-18,Grossstadtgefl?ster,['Pop'],Bern
[' Smart '],2014-01-18,K?ptn-Peng-&-Die-Tentakel-von-Delphi,"['Hip', 'Hop', ""R'n'B""]",Lyss
"['Baze ', ' Rico Baumann ', ' Don Li ']",2014-01-18,Metric-Rotations-2,"['Jazz', 'Blues', 'Soul']",Bern
['Dara '],2014-01-18,Dara,['traditional'],Bern
['Babyshambles '],2014-01-18,Babyshambles,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",null
['Daddy G '],2014-01-18,Daddy-G,['Electronic'],Lugano
"[' Anouk Theurillat ', ' Julien Mathieu ', ' Julia Malkova ', ' Andreas Graf ', ' Bernhard R?thlisberger ', ' Monika Schneider ', ' Daniel Lienhard ', ' Sebastian Schindler ']",2014-01-19,Septette-aus-Klassik-und-Romantik,['Classic'],Bern
"[' Peter C. Beyeler ', ' Shilo Buck ', ' Werner Gisin ', ' Heinz Glauser ', ' Heinz Lehmann ', ' Walter Daetwyler ']",2014-01-19,Jazz-Matinee,"['Jazz', 'Blues', 'Soul']",Laufen
[' Emmanuel Pahud '],2014-01-19,Zauberfl?tenzauber,['Classic'],Luzern
"['Claudia Brunner ', ' Nicola Hanck ']",2014-01-19,Tranquilla-Trampeltreu-eine-beharrliche-Schildkr?te-bereits-die-Welt,['Classic'],Basel
"['Benjamin Scheck ', ' Ilona Kocsis-N?f ']",2014-01-19,Matin?e-Circulo-m?gico,['Classic'],Uster
"[' Martin Ohm ', ' Peter Erdrich ', ' Philipp Heizmann ', ' Oliver Haux ']",2014-01-19,Warten-auf-Heizmann,['Classic'],Basel
['Bobby Mitchell '],2014-01-19,Klavierwerke,['Classic'],Basel
[' Christoph Erb '],2014-01-19,Big-Band-der-Musikschule-Luzern,"['Jazz', 'Blues', 'Soul']",Luzern
"[' Sandra L?tzelschwab-Fehr ', ' Denise Waldvogel-Lehmann ', ' Daniel Waldvogel ', ' J?rg Wehrli ']",2014-01-19,Clari-Nuts,"['world', 'music']",Lufingen
[' Simon Stettler '],2014-01-19,Opus-8-Klarinetten-tanzen-Salsa,['Classic'],Wettingen
"[' Kathleen Dineen ', ' Robert M. Getchell ', ' Matthias Spoerry ', "" Gerry O'Connor ""]",2014-01-19,Musik-im-Schloss-III,['Classic'],Rapperswil
[' Christian Lampert '],2014-01-19,Romantische-Reisen,['Classic'],Aarau
"['Sybille Diethelm ', ' Valentin Johannes Gloor ', ' Edward Rushton ']",2014-01-19,Am-Bruch-zur-Moderne,['Classic'],Einsiedeln
['Christian Gautschi '],2014-01-19,Chilbimusik,['traditional'],Buchberg
"[' Mario Schenker ', ' Yves Theiler ', ' Silvan Jeger ', ' Maxime Paratte ']",2014-01-19,Mario-Schenker-Quartett,"['Jazz', 'Blues', 'Soul']",Brugg
['Kodaline '],2014-01-19,Kodaline,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"['Jean-Paul Bourelly ', ' Jean-Paul Bourelly ', ' Darryl Taylor ', ' Kenny Martin ']",2014-01-19,Jean-Paul-Bourelly,"['Jazz', 'Blues', 'Soul']",Z?rich
"[' Andrey Baranov ', ' Matthias Arter ']",2014-01-19,Konzert-3,['Classic'],Basel
"[' Muriel Schweizer ', ' Regula Bernays ', ' Franz Winteler ', ' Michel M?nch ', ' Hansj?rg Fetzer ']",2014-01-19,Fragula,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Winterthur
"[' Hossein Samieian ', ' Kurt Meier ', ' Felix Gubser ']",2014-01-19,Schlusskonzert,['Classic'],Z?rich
"['Dave Gisler ', ' Jonas Labhart ', ' Marius Peyer ']",2014-01-19,Swanky-Mothers-Series-XIII,"['Jazz', 'Blues', 'Soul']",Z?rich
"['Baze ', ' Rico Baumann ', ' Don Li ']",2014-01-19,Metric-Rotations-2,"['Jazz', 'Blues', 'Soul']",Bern
['Terry Lee Hale '],2014-01-20,Terry-Lee-Hale,['Pop'],Z?rich
[' Lucie Cornemillot '],2014-01-20,Masterrezital,['Classic'],Basel
"['Malin Christensson ', ' Simon Lepper ']",2014-01-20,White-Nights-Evening-Recital,['Classic'],Z?rich
"[' Antonio Schiavano ', ' Rico Baumann ', ' \r\nRoland W?ger ']",2014-01-20,Groove-Night,"['Jazz', 'Blues', 'Soul']",Bern
['Ernesto Molinari '],2014-01-20,Dialog,['Classic'],Basel
[' Oak '],2014-01-20,Doppelkonzert,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
['Kodaline '],2014-01-20,Kodaline,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
['Andy Boller '],2014-01-20,Old-School-Piano-Blues,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"[' Andreas Schaerer ', ' Wolfgang Zwiauer ', ' Beat Hofstetter ', ' Sacha Armbruster ', ' Andrea Formenti ', ' Beat Kappeler ']",2014-01-20,Andreas-Schaerer-&-Arte-Quartett-&-Wolfgang-Zwiauer,"['Jazz', 'Blues', 'Soul']",Baden
"[' Tricia Evy ', ' Nicolas Montier ', ' David Fackeure ', ' Thierry Fanfant ', ' Francis Arnaud ']",2014-01-20,Lady-In-Satin,"['Jazz', 'Blues', 'Soul']",Ascona
"[' Christoph Irniger ', ' Don Philippe ']",2014-01-20,Contrastnacht,"['Jazz', 'Blues', 'Soul']",Z?rich
"[' Ben Zahler ', ' Annika Francke ', ' Markus Schmied ', ' Pau Lligadas ', ' Florian Krause ']",2014-01-20,Jam-Session,"['Jazz', 'Blues', 'Soul']",Basel
"[' Kasper Rast ', ' Thomy Jordi ', ' Sha ', ' Bernhard Wagner ']",2014-01-20,Nik-B?rtsch's-Ronin,"['Jazz', 'Blues', 'Soul']",Z?rich
"['ADHD ', ' Oskar Gudjonsson ', ' Omar Gudjonsson ', ' David Thor Jonsson ', ' Magnus Eliassen ']",2014-01-20,Contrastnacht,['Pop'],Z?rich
[' Asena Aktop '],2014-01-21,Bachelorkonzert,['Classic'],Basel
"['Kim-Lillian Strebel ', ' Nathalie Mittelbach ', ' Markus Nyk?nen ', ' Jason Cox ']",2014-01-21,Lunchkonzert,['Classic'],Basel
"[' Fabian M?ller ', ' Silvan Jeger ']",2014-01-21,Jazzapero,['Pop'],Z?rich
['Apollon Musag?te Quartett '],2014-01-21,Konzert,['Classic'],Basel
"['German Echeverri ', ' Karoline Echeverri ', ' Annekatrin Beller ', ' Daniela Niedhammer ', ' Josep Maria Mart? Duran ']",2014-01-21,Der-musikalische-Garten,['Classic'],Basel
[' Alexander Toradze '],2014-01-21,AMG-World-Orchestras,['Classic'],Basel
[' Christian Lampert '],2014-01-21,Romantische-Reisen,['Classic'],Aarau
"['Julia Lezhneva ', ' Philippe Jaroussky ']",2014-01-21,I-Barocchisti,['Classic'],Luzern
[' Les R?cr?ations '],2014-01-21,...que-tout-se-taise-?-sa-pr?sence,['Classic'],Luzern
"['Sybille Diethelm ', ' Valentin Johannes Gloor ', ' Edward Rushton ']",2014-01-21,Am-Bruch-zur-Moderne,['Classic'],Winterthur
[' Benjamin Nyffenegger '],2014-01-21,Konzert,['Classic'],Z?rich
"['Moddi ', ' P?l Moddi Knutsen ', ' Katrine Schi?tt ']",2014-01-21,Moddi,['Pop'],Winterthur
"['Franziska Fleischanderl ', ' Gilles Grimaitre ', ' Julien Megroz ']",2014-01-21,Compromis-rythmique,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Basel
['The Battlefield Band '],2014-01-21,The-Battlefield-Band,"['world', 'music']",Basel
['Fazil Say '],2014-01-21,R?cital,['Classic'],Lugano
"['Luzius Schuler ', ' Philipp Moll ', ' Daniel ""Db"" Weber ']",2014-01-21,Tuesday-Jam,"['Jazz', 'Blues', 'Soul']",Bern
[' F. Asena Aktop '],2014-01-22,Bachelorkonzert,['Classic'],Basel
"['Jelina Deuter ', ' Cory Knight ', ' Elina Albach ']",2014-01-22,Mittagskonzert,['Classic'],Basel
"['Suicidal Tendencies ', ' Terror ', ' Evergreen Terrace ', ' Strife ', ' Ramallah ']",2014-01-22,Persistence-Tour,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"['Suicidal Tendencies ', ' Terror ', ' Evergreen Terrace ', ' Strife ']",2014-01-22,Suicidal-Tendencies,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Solothurn
[' Stephanie Pfeffer '],2014-01-22,Mozart-plus,['Classic'],Z?rich
['Sportfreunde Stiller '],2014-01-22,Sportfreunde-Stiller,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Basel
['Iced Earth '],2014-01-22,Pratteln,"['Iced', 'Earth']",Z7
[' Albrecht Mayer '],2014-01-22,Der-Dirigent-als-Komponist,['Classic'],Winterthur
"['Tesseract ', ' Protest The Hero ', ' The Safety Fire ', ' Intervals ']",2014-01-22,Tesseract,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Aarau
"['Sol Gabetta ', ' Bertrand Chamayou ']",2014-01-22,Meisterzyklus,['Classic'],Bern
[' Fabio Bidini '],2014-01-22,Jubeln-sollt-ihr,['Classic'],Basel
"[' Heidi-Maria Makkonen ', ' Anna Kuvaja ']",2014-01-22,Sonaten-Abend,['Classic'],Z?rich
[' G?rard Wyss '],2014-01-22,Konzert,['Classic'],Olten
"['Sybille Diethelm ', ' Valentin Johannes Gloor ', ' Edward Rushton ']",2014-01-22,Am-Bruch-zur-Moderne-Schweizer-Komponisten,['Classic'],Aarau
"['Denise Huser ', ' Christian Winiker ', ' Mike Maloth ', ' Thomas Tavano ']",2014-01-22,Jam-Night,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Luzern
['Jessica Pratt '],2014-01-22,Jessica-Pratt,['Pop'],Lausanne
"['Deborah Marchetti ', ' Edmauro de Oliveira ']",2014-01-22,Klassik-pur-im-Prime-Tower,['Classic'],Z?rich
[' Cayoux '],2014-01-22,Oak-&-Cayoux,"['Jazz', 'Blues', 'Soul']",null
"[' Marc Copland ', ' Daniel Schl?ppi ']",2014-01-22,Jazz-am-Mittwoch,"['Jazz', 'Blues', 'Soul']",Winterthur
"['Cats On Trees ', ' Nina Goern ', ' Yohann Hennequin ']",2014-01-22,Cats-On-Trees,['Pop'],Z?rich
['Kensington '],2014-01-22,Kensington,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
['Bernard Allison Group '],2014-01-22,Bernard-Allison-Group,"['Jazz', 'Blues', 'Soul']",Winterthur
"['Laura Pohl ', ' Samuel Edvardsson Wigervall ']",2014-01-22,Baudelaire-Prisma-ein-multimediales-Portr?t,['Classic'],Z?rich
['Fanfare Ciocarlia '],2014-01-22,Fanfare-Ciocarlia,"['Hip', 'Hop', ""R'n'B""]",Rubigen
['Rue Royale '],2014-01-22,Rue-Royale,['Pop'],Luzern
['Kensington '],2014-01-22,Kensington,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Lausanne
['Desmadrados Soldados De Ventura '],2014-01-22,Get-Heavy-Mental,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Basel
['DAVV '],2014-01-22,DAVV,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
['Anja Steiner '],2014-01-23,Mittagskonzert,['Classic'],Basel
[' Anita Leuziger '],2014-01-23,Vortragsabend,['Classic'],Basel
"['Sol Gabetta ', ' Bertrand Chamayou ']",2014-01-23,Singen-auf-vier-Saiten,['Classic'],Winterthur
"[' Rebecca Spiteri ', ' J?rg Ramspeck ', ' Fridolin Blumer ', ' Rolf Lyssy ']",2014-01-23,Thursday-Night-Jazz,"['Jazz', 'Blues', 'Soul']",Z?rich
['Tomas Dratva '],2014-01-23,Klavierabend-auf-historischen-Klavieren,['Classic'],Basel
[' Fabio Bidini '],2014-01-23,Jubeln-sollt-ihr,['Classic'],Basel
[' Albrecht Mayer '],2014-01-23,null,['Classic'],Palais-des-Congr?s
[' Reinhold Friedrich '],2014-01-23,Konzert,['Classic'],Zug
[' Les R?cr?ations '],2014-01-23,...que-tout-se-taise-?-sa-pr?sence,['Classic'],Z?rich
"[' Roman Glaser ', ' Alain von Ritter ', ' Richard Pechota ', ' Jost M?ller ']",2014-01-23,Chachaloca,"['Jazz', 'Blues', 'Soul']",Z?rich
['Piers Faccini '],2014-01-23,Contrastnacht,"['Jazz', 'Blues', 'Soul']",null
"['Nils Wogram Root 70 with Strings ', ' Nils Wogram ', ' Hayden Chisholm ', ' Matt Penman ', ' Jochen R?ckert ', ' Gerdur Gunnarsdottir ', ' Garth Lubbe ', ' Adrian Brendel ', ' Philip Henzi ', ' Lorenz Beyeler ', ' Tobias Friedli ']",2014-01-23,BeJazz-Winterfestival,"['Jazz', 'Blues', 'Soul']",null
['M?nchener Freiheit '],2014-01-23,M?nchener-Freiheit,['Pop'],Z?rich
"[' Ephrem L?chinger ', ' Stefan Rusconi ']",2014-01-23,Whistler-&-Hustler,"['Jazz', 'Blues', 'Soul']",Winterthur
"['Martin Schaefer ', ' Richard Decker ']",2014-01-23,Salonmusik,['Classic'],Luzern
['QL '],2014-01-23,QL,['Pop'],Solothurn
[' Anita Leuziger '],2014-01-23,Vortragsabend,['Classic'],Basel
"['Laura Pohl ', ' Samuel Edvardsson Wigervall ']",2014-01-23,Baudelaire-Prisma-ein-multimediales-Portr?t,['Classic'],Winterthur
"['Fanfare Ciocarlia ', ' Costica Trifan ', ' Paul Marian Bulgaru ', ' Radulescu Lazar ', ' Oprica Ivancea ', ' Dan Ionel Ivancea ']",2014-01-23,Fanfare-Ciocarlia,"['world', 'music']",Z?rich
['Kensington '],2014-01-23,Kensington,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Basel
"[' Christoph Baumann ', ' H?mi H?mmerli ', ' Tony Renold ']",2014-01-23,Jazz-Rice-Performance,"['Jazz', 'Blues', 'Soul']",Baden
['Cryssis '],2014-01-23,Cryssis,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
['Bernard Allison '],2014-01-23,Bernard-Allison,"['Hip', 'Hop', ""R'n'B""]",Pratteln
"['P?l Moddi Knutsen ', ' Si?n Russell Jones ']",2014-01-23,P?l-Moddi-Knutsen,['Pop'],null
[' DJ Bone '],2014-01-23,Theo's-Fried-Chicken-Store,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
['Rue Royale '],2014-01-23,Rue-Royale,"['Hip', 'Hop', ""R'n'B""]",Z?rich
['Richard Decker '],2014-01-23,Jam-Session,"['Jazz', 'Blues', 'Soul']",Luzern
['The Cyborgs '],2014-01-23,The-Cyborgs,"['Jazz', 'Blues', 'Soul']",Lausanne
['Mega Horvath '],2014-01-24,Piano-Entertainment,"['Jazz', 'Blues', 'Soul']",Luzern
['Susanne Doll '],2014-01-24,Orgelspiel-zum-Feierabend,['Classic'],Basel
[' Bernhard H?rler '],2014-01-24,Feierabendmusik,['Classic'],Dietikon
[' Solitudo Solemnis '],2014-01-24,Concilia-Nocturna,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
[' Alexander Neustroev '],2014-01-24,St.-Petersburg-D?ner-musical,['Classic'],Z?rich
"['Anna Herbst ', ' Werner B?rtschi ', ' Corinne Kappeler ']",2014-01-24,Hexen,['Classic'],Z?rich
[' Chrsitoph Keller '],2014-01-24,Begegnung-mit-Hans-Huber,['Classic'],Basel
[' Anna K?nzig '],2014-01-24,Pop-Rock-Jazz-gegen-Januarloch,['Pop'],Z?rich
"[' H. J. Fink ', ' A. Ichtchenko ', ' M. Wamser ']",2014-01-24,Chorkonzert-Daseinsfreude,['Classic'],Basel
"[' ', ' Till Gr?newald ', ' Ir?ne Schweizer ', ' Pierre Favre ']",2014-01-24,BeJazz-Winterfestival,"['Jazz', 'Blues', 'Soul']",null
['Anna Depenbusch '],2014-01-24,Anna-Depenbusch,['Pop'],null
[' Srdjan Vukasinovic '],2014-01-24,Konzert,['Classic'],Wetzikon
[' Albrecht Mayer '],2014-01-24,3.-Abonnementskonzert,['Classic'],Chur
"['Boya ', ' Dimitar Gougov ', ' Nathalie Tavernier ', ' Etienne Gruel ']",2014-01-24,Boya,"['world', 'music']",Z?rich
['Ringsgwandl '],2014-01-24,Ringsgwandl,['Pop'],Z?rich
"[' Bettina Boller ', ' Judith Gerster ', ' Stefka Perifanova ']",2014-01-24,Liebe,['Classic'],Wettingen
"['Agn?s Vesterman ', ' Sylvain Lem?tre ', ' conductor: Garth Knox ']",2014-01-24,Saltarello,['Classic'],Basel
['The Wildfire '],2014-01-24,The-Wildfire,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"['Olaf Polziehn Quartet feat. Scott Hamilton ', ' Scott Hamilton ', ' Olaf Polziehn ', ' Ingmar Heller ', ' Steve Brown ']",2014-01-24,Olaf-Polziehn-Quartet-feat.-Scott-Hamilton,"['Jazz', 'Blues', 'Soul']",B?lach
"[' Luigi Marino ', ' Marco Colonna ', ' Joke Lanz ', ' Martin Gantenbein ']",2014-01-24,Urban-Flux,"['Jazz', 'Blues', 'Soul']",Z?rich
"[' Antonello Messina ', ' Wege W?thrich ', ' Lorenz Beyeler ', ' Omri Hason ']",2014-01-24,Omri-Hason-Modus-Quartet,"['world', 'music']",Liestal
"[' Daniel Schl?ppi ', ' Marc Copland ']",2014-01-24,Daniel-Schl?ppi-&-Marc-Copland,"['Jazz', 'Blues', 'Soul']",null
"['Cl?ber Alves Quarteto ', ' Cl?ber Alves ', ' Ricardo Fi?za ', ' Stephan Kurmann ', ' Andr? Lim?o Queiroz ']",2014-01-24,Cl?ber-Alves-Quarteto,"['Jazz', 'Blues', 'Soul']",Basel
"['Kylesa ', ' Sierra ', ' Jagged Vision ']",2014-01-24,Kylesa,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",null
"[' Reto Suhner ', ' Lukas Heuss ', ' Christoph Grab ', ' Thomas L?thi ', ' Matthias Tschopp ', ' Adrian Weber ', ' Lukas Wyss ', ' Silvio Cadotsch ']",2014-01-24,Zurich-Jazz-Orchestra,"['Jazz', 'Blues', 'Soul']",Z?rich
"[' Fred Bintner ', ' C?dric Ducheman ', ' Gino Chantoiseau ']",2014-01-24,Fred-Bintner,"['Hip', 'Hop', ""R'n'B""]",null
['Coultrain '],2014-01-24,Coultrain,"['Hip', 'Hop', ""R'n'B""]",Winterthur
['Rival Kings '],2014-01-24,Rival-Kings,['Pop'],Luzern
['Shotgun Express '],2014-01-24,Shotgun-Express,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Luzern
"[""Albie Donnelly's Supercharge ""]",2014-01-24,Albie-Donnelly's-Supercharge,"['Hip', 'Hop', ""R'n'B""]",Zug
['Mintzkov '],2014-01-24,Mintzkov,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
['Gentleman '],2014-01-24,Gentleman,"['Hip', 'Hop', ""R'n'B""]",Hasliberg-Hohfluh
['Blind Butcher '],2014-01-24,Blind-Butcher,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Kriens
[' Band '],2014-01-24,Get-Up-And-Boogie,"['Hip', 'Hop', ""R'n'B""]",Schaffhausen
['Ame '],2014-01-24,Ame,['Electronic'],Winterthur
['Rejjie Snow '],2014-01-24,Rejjie-Snow,"['Hip', 'Hop', ""R'n'B""]",Bern
"[' Urs V?geli ', ' Claude Meier ', ' Lukas Mantel ']",2014-01-24,Ghost-Town-Trio,"['Jazz', 'Blues', 'Soul']",Liebefeld
"[' Maja Barroso Lisac ', ' Lev Pupis ', ' Christina Wyss ', ' Rahel Kohler ', ' Claudia Vollenweider ', ' Mario Giovannelli ']",2014-01-25,Midi-musique-Ein-slawischer-Winter,['Classic'],Basel
"[' Lisa Berg ', ' Curdin Janett ', ' David Ruosch ']",2014-01-25,Sch?n-wie-es-begann,['Pop'],Winterthur
"['Vera Schnider ', ' Michael Gebauer ', ' Jana Karsko ', ' Hiroko Takehara ', ' Anna Tyka Nyffenegger ']",2014-01-25,Nuggi-Konzert,['Classic'],Z?rich
"['Immolation ', ' Tsjuder ', ' Hail Of Bullets ', ' Endstille ', ' Broken Hope ']",2014-01-25,Meh-Suff-Winterfestival,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
"[' Sequoia Crosswhite ', ' Marcello Burgener ']",2014-01-25,Sequoia-Crosswhite,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Winterthur
['Steve Gunn '],2014-01-25,Steve-Gunn,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",D?dingen
[' Silvia Trebo '],2014-01-25,Slawisches-Konzert,['Classic'],Z?rich
['Fabienne Amb?hl '],2014-01-25,Piano-Entertainment,"['Jazz', 'Blues', 'Soul']",Luzern
"['Yvonne Troxler ', ' Michael Leibundgut ']",2014-01-25,Close-Encounter,['Classic'],Meggen
[' J?rg Eichenberger '],2014-01-25,Grande-Finale-Abschiedskonzert-Franz-Schaffner,['Classic'],Luzern
[' Vital Julian Frey '],2014-01-25,2.-Sinfoniekonzert,['Classic'],Thun
"['Sylvia Nopper ', ' Till Alexander K?rber ']",2014-01-25,Verschollenes-Tr?umen-De-Zytvogl,['Classic'],Basel
"['Hansheinz Schneeberger ', ' Fanny Paccoud ', ' Emilia Gliozzi ', ' Jean-Jacques D?nki ']",2014-01-25,Konzert,['Classic'],Basel
"[' Hannes B?rtschi ', ' Francesco Corti ', ' works by Thomas Demenga ']",2014-01-25,Konzert,['Classic'],Z?rich
"[' The Gangsters ', ' Christopher Paul Stelling ']",2014-01-25,Slick-Steve-&-The-Gangsters,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Lenzburg
['The Cyborgs '],2014-01-25,The-Cyborgs,"['Jazz', 'Blues', 'Soul']",Giswil
[' Srdjan Vukasinovic '],2014-01-25,Konzert,['Classic'],D?bendorf
"['Soifass ', ' Die Bonkers ']",2014-01-25,Soifass,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Z?rich
[' Beatrice Harmon '],2014-01-25,Galakonzert,['Classic'],Basel
"['Stephan Greminger ', ' Oli Hartung ', ' J?re Schmidhauser ', ' Nadja Stoller ']",2014-01-25,His-Dog-Bingo-Big-White-Ghost,['Pop'],Burgdorf
"[' the Rainmakers ', ' Karin Meiers Forest Radio ', ' Beat Hofstetter ', ' Sascha Armbruster ', ' Andrea Formenti ', ' Beat Kappeler ', ' Andreas Schaerer ', ' Wolfgang Zwiauer ', ' Afrika Mkhize ', ' B?nz Oester ', ' Ayanda Sikade ', ' Hannes B?rgi ']",2014-01-25,BeJazz-Winterfestival,"['Jazz', 'Blues', 'Soul']",null
"[' The Jicks ', ' The Megaphonic Thrift ']",2014-01-25,Stephen-Malcmus-&-The-Jicks,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",null
['Sportfreunde Stiller '],2014-01-25,Sportfreunde-Stiller,['Pop'],Z?rich
"[' Reto Suhner ', ' Philip Henzi ', ' Silvan Jeger ', ' Dominic Egli ']",2014-01-25,Real-Jazz,"['Jazz', 'Blues', 'Soul']",Oberengstringen
"[' Martin Carl ', ' Roger Nickl ', ' Flavio Rohner ', ' Flavio Spirgi ']",2014-01-25,Blasnost,"['Jazz', 'Blues', 'Soul']",Z?rich
"[' Gabriele Hierdeis ', ' Ulrike Hofbauer ', ' Jessica Jans ', ' Agnieszka Kowalczyk ']",2014-01-25,Celebremus,['Classic'],Z?rich
['The Lucky Punch '],2014-01-25,Kaltstart,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Winterthur
"[' John Wolf Brennan ', ' Arkady Shilkloper ', ' Christian Zehnder ']",2014-01-25,Zehnder,"['Jazz', 'Blues', 'Soul']",Liestal
['Stefano Bollani '],2014-01-25,Stefano-Bollani,"['Jazz', 'Blues', 'Soul']",Chiasso
"[' Rich Fonje ', ' Ren? Mosele ', ' Alex Hendriksen ', ' Andreas Michel ', ' Bernhard H?berlin ']",2014-01-25,Grand-Mother's-Funck,"['Hip', 'Hop', ""R'n'B""]",Z?rich
['Bernard Allison Group '],2014-01-25,Bernard-Allison-Group,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Biel
['Rob Moir '],2014-01-25,Rob-Moir,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",null
"[' Michael Wespi ', ' Luzian Graber ', ' Joel D. Allison ']",2014-01-25,Michael-Wespi,['Pop'],Cham
['MF Doom '],2014-01-25,MF-Doom,"['Hip', 'Hop', ""R'n'B""]",Lausanne
"['Swift Guad ', ' Sake Zakariens ', ' V?rus ']",2014-01-25,Swift-Guad,"['Hip', 'Hop', ""R'n'B""]",null
"['Andy Egert Blues Band feat. Dallas Hodge ', ' Dallas Hodge ', ' Andy Egert ', ' Markus de Pretto ', ' Hani Ali ']",2014-01-25,Andy-Egert-Blues-Band-feat.-Dallas-Hodge,"['Jazz', 'Blues', 'Soul']",Mels
"[' Luca Sisera ', ' Michael Jaeger ', ' Silvio Cadotsch ', ' Yves Theiler ', ' Michi Stulz ']",2014-01-25,Heavy-Hat,"['Jazz', 'Blues', 'Soul']",Chur
['Makako Jump '],2014-01-25,Makako-Jump,"['Hip', 'Hop', ""R'n'B""]",Frick
['Fanfare Ciocarlia '],2014-01-25,Fanfare-Ciocarlia,"['world', 'music']",Schaffhausen
"['Riverboat Gamblers ', ' Facing the Swarm Thought ']",2014-01-25,Riverboat-Gamblers,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Schaffhausen
['Tide '],2014-01-25,Tide,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Oberentfelden
['Rejjie Snow '],2014-01-25,Rejjie-Snow,"['Hip', 'Hop', ""R'n'B""]",Basel
"['DJs Tommy ', ' Dale ']",2014-01-25,El-Bachatazo-Latin-Night,"['Ragga', 'Reggae', 'African', 'Music', 'Dancehall']",Rorschach
"[' Karin Meier ', ' Hannes B?rgi ', ' Claude Meier ', ' Christoph Steiner ']",2014-01-25,Karin-Meiers-Forest-Radio,"['Jazz', 'Blues', 'Soul']",Liebefeld
"['2Manydjs ', ' Yuksek ']",2014-01-25,2Manydjs,['Electronic'],Lausanne
