artists,date,event,genre,location
"[' Natalie Chee ', ' Strauss ']",2013-01-06,Lucerne-Chamber-Circle-Salzburger-Neujahrskonzert,['Classic'],Luzern
[' Céline Akça '],2013-01-06,Konzert,['Classic'],Elgg
[' Maria Goldschmidt '],2013-01-06,Neujahrskonzert,['Classic'],Aarau
"['Linda Campanella ', ' Barbara Ciannamea ', ' Claude Hauri ', ' conductor: Daniel Moos ']",2013-01-06,Ein-Walzertraum-Seuzacher-Konzertreihe,['Classic'],Seuzach
[' Ursula Füri-Bernhard '],2013-01-06,null,['Classic'],Palais-des-Congrès
"[' Isabel Heusser ', ' Roberth Horvath ', ' Laszlo Polus ']",2013-01-06,Aimez-vous-Ravel-,['Classic'],Basel
"['The Busters ', ' Ron Marsman ', ' Rob Solomon ', ' Mathias Demmer ', ' Hardy Appich ', ' Stephan Keller ', ' Markus Schramhauser ', ' Rolf Breyer ']",2013-01-06,The-Busters,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
"[' Hansruedi Gattiker ', ' Charlie Schumacher ', ' Bruce Roberts ', ' Hans Krauer ', ' Urs Rellstab ', ' Ernst Grädel ', ' René Grimm ']",2013-01-06,Chicago-Swing-Rats,"['Jazz', 'Blues', 'Soul']",Luzern
"['Klaus-Peter Riemer ', ' Torsten Laux ']",2013-01-06,Orgel-und-Flöte,['Classic'],Zürich
"[' Mat Callahan ', ' Yvonne Moore ']",2013-01-06,Winterthur,"['Yvonne', 'Moore']",Esse-Musicbar
"[' Jonas Labhart ', ' Dave Gisler ', ' Marius Peyer ']",2013-01-06,Swanky-Mothers-Series-IV,"['Jazz', 'Blues', 'Soul']",Zürich
"['Catriona Bühler ', ' Hieronymus Schädler ', ' Markus Hochuli ', ' Priska Zaugg ']",2013-01-06,Hommage-à-Strawinski,['Classic'],Basel
['Maria Doyle Kennedy & Kieran Kennedy '],2013-01-06,Zürich,"['Maria', 'Doyle', 'Kennedy', '']",El-Lokal
