,artist,genres_spotify,genres_ra,genres_wiki,main_genres,top3_genres,genre
0,JoachimGarraud,None,,,,,
1,DavidGuetta,None,,,,,
2,Panteros666✱✲,['destroy techno'],,,,,
3,Rihanna,"['dance pop', 'pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']",,,,,
4,-Rihanna,None,,,,,
5,Drum'n'bass,None,,,,,
