location,event,date,artist,coordinates
Geneve,FETES DE GENEVE,2013-07-18,MICHEL JONASZ,"(46.2043907, 6.1431577)"
Zurich,LIVE AT SUNSET,2013-07-18,HELGE SCHNEIDER,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,THE CANETTES BLUES BAND,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DIETER MEIER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DIANA KRALL,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DAVID SANBORN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,OM UNIT,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,THE FAMILY RAIN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,FEHRPLAY,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2013-07-18,QUATUOR TERPSYCORDES,"(46.2043907, 6.1431577)"
