location,event,date,artist,coordinates
Chenes Bougeries,BIMBADABOUM FESTIVAL,2012-08-17,"FRANZ (Francois Velliet / ""BAS LES PATTES""))","(46.1983939, 6.1851258)"
Plan les Ouates,FESTIVAL PLEIN LES WATTS,2012-08-17,LES FILS DE TEUHPU,"(46.1668075, 6.1145793)"
Geneve,MUSIQUES EN ETE,2012-08-17,ANGELIKA KIRCHSCHLAGER,"(46.2043907, 6.1431577)"
Geneve,MUSIQUES EN ETE,2012-08-17,MONOFOCUS,"(46.2043907, 6.1431577)"
Vevey,NOX ORAE,2012-08-17,FANFARLO,"(46.4628333, 6.8419192)"
Gampel,OPEN AIR DE GAMPEL,2012-08-17,HUCK FINN,"(46.3157745, 7.741944099999999)"
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-17,FRANCOIS CASTIELLO,"(46.1049798, 7.075533399999999)"
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-17,LULUXPO,"(46.1049798, 7.075533399999999)"
Yvoire,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-17,ESTELLE REVAZ,"(46.368685, 6.325756)"
Le Locle,ROCK ALTITUDE,2012-08-17,NAPALM DEATH,"(47.0577195, 6.7487354)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,SAXITUDE,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,RED HOT SERENADERS,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,JACKY MILLIET,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,FRANK SALIS,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,SEPTETO NACIONAL,"(46.8496401, 6.845060800000001)"
