location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,PALKOMUSKI,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,LES SOEURS GOUDRON,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,MARTIN O,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,HOQUETS,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,MOHAMED NOUAR,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,CAMERA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,HOUSSE DE RACKET,"(46.5196535, 6.6322734)"
Bern,GURTEN FESTIVAL BERN,2012-07-12,NOEL GALLAGHER'S HIGH FLYING BIRDS,"(46.9479739, 7.4474468)"
Zurich,LIVE AT SUNSET,2012-07-12,CARO EMERALD,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-12,NIGHTWISH,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-12,JESSIE J,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2012-07-12,ELTON JOHN,"(46.16699879999999, 8.7942643)"
