location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,BARCELLA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,MAIA VIDAL,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,LES PETITS CHANTEURS A LA GUEULE DE BOIS,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,THE VIENNA VEGETABLE ORCHESTRA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,MAUD LIARDON,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,ARNAUD DUCRET,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-15,GREIS,"(46.5196535, 6.6322734)"
Bern,GURTEN FESTIVAL BERN,2012-07-15,PHENOMDEN,"(46.9479739, 7.4474468)"
Zurich,LIVE AT SUNSET,2012-07-15,MORCHEEBA,"(47.3768866, 8.541694)"
Locarno,MOON AND STARS,2012-07-15,UNHEILIG,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2012-07-15,WEST EASTERN DIVAN ORCHESTRA,"(46.2043907, 6.1431577)"
