location,event,date,artist,coordinates
Seynod,JAZZCONTREBAND,2007-10-19,BRUNO ANGELINI,"(45.8890357, 6.102035799999999)"
Monthey,JAZZCONTREBAND,2007-10-19,THE SLIDE QUARTET,"(46.2521873, 6.9469598)"
Geneve,JAZZCONTREBAND,2007-10-19,YVES CERF,"(46.2043907, 6.1431577)"
Vevey,ROCK N ORGE,2007-10-19,THE PASSENGERS,"(46.4628333, 6.8419192)"
