location,event,date,artist,coordinates
Zurich,LIVE AT SUNSET,2013-07-16,EARTH WIND & FIRE,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,BEE FIVE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,SILVAN ZINGG,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,STING,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,JOSE JAMES,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,MARK LANEGAN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,SILVER DUST,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,NO ID,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,MIMETIC,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2013-07-16,GERHARD OPPITZ,"(46.2043907, 6.1431577)"
