location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,JEAN CHRISTOPHE GEISER,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,TERAKAFT / TERAKRAFT,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,DOM LA NENA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,TONY SAINT LAURENT,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,KOQA,"(46.5196535, 6.6322734)"
Zurich,LIVE AT SUNSET,2013-07-12,NATALIE COLE,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,HEMU JAZZ ORCHESTRA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,FAUVE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,TULIPA RUIZ,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,SUGAR BLUE,"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-12,GWILYM SIMCOCK,"(46.42071019999999, 6.9286409)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,DAUGHTER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,KARAOKE FROM HELL,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,EMILIE NANA,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2013-07-12,BRYAN ADAMS,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2013-07-12,SALIF KEITA,"(46.2043907, 6.1431577)"
Geneve,MUSIQUES EN ETE,2013-07-12,OPERA DE CHAMBRE DE GENEVE,"(46.2043907, 6.1431577)"
Frauenfeld,OPENAIR FRAUENFELD,2013-07-12,SEEED,"(47.5535997, 8.8987541)"
Aarberg,STARS OF SOUNDS,2013-07-12,CANDY DULFER,"(47.0420553, 7.2751012)"
