location,event,date,artist,coordinates
Lausanne,INFERNO,2014-06-27,GOJIRA,"(46.5196535, 6.6322734)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,DAVID ROBIN,"(46.2043907, 6.1431577)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,BERNARD TRONTIN,"(46.2043907, 6.1431577)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,MAURICE MAGNONI,"(46.2043907, 6.1431577)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,PIERRE AUDETAT,"(46.2043907, 6.1431577)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,THEO DUBOULE,"(46.2043907, 6.1431577)"
Geneve,L'AMR AUX CROPETTES,2014-06-27,GABRIEL ZUFFEREY,"(46.2043907, 6.1431577)"
Cully,LAVAUX CLASSIQUE,2014-06-27,TRIO SAINT EXUPERY,"(46.4895985, 6.7290888)"
Cully,LAVAUX CLASSIQUE,2014-06-27,FABRIZIO CHIOVETTA,"(46.4895985, 6.7290888)"
Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-27,MOP MOP (INSTRUMENTAL COMBO),"(46.29413110000001, 7.533536199999999)"
