location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,SINE NOMINE,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,PIERRE OMER,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,SEA + AIR,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,BRISTOPHE,"(46.5196535, 6.6322734)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,PAUL KALKBRENNER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,GLENELG JAZZ ENSEMBLE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,WOODKID,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,WOODKID,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,CHARLES BRADLEY,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,ROUND TABLE KNIGHTS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,THE BOTS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,FRED LILLA,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2013-07-09,DEPECHE MODE,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2013-07-09,OPERA DE CHAMBRE DE GENEVE,"(46.2043907, 6.1431577)"
