location,event,date,artist,coordinates
Lucerne,BLUE BALLS,2012-07-28,ANOHNI (Ex ANTONY AND THE JOHNSONS),"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2012-07-28,GENTLEMAN (AND THE EVOLUTION),"(47.05016819999999, 8.3093072)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,MALCOLM BRAFF,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,TIGRAN HAMASYAN,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,SOFIE SORMAN,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,MALCOLM BRAFF,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2012-07-28,TWEETERS,"(46.2043907, 6.1431577)"
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2012-07-28,TEXAS,"(46.8496401, 6.845060800000001)"
Etziken,OPENAIR ETZIKEN,2012-07-28,BASTIAN BAKER,"(47.1876571, 7.6484107)"
Verbier,VERBIER FESTIVAL,2012-07-28,DANIIL TRIFONOV,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-28,MARTHA ARGERICH,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-28,LEONIDAS KAVAKOS,"(46.0960814, 7.2285512)"
