location,event,date,artist,coordinates
Thun,AM SCHLUSS,2012-07-26,PHENOMDEN,"(46.7579868, 7.6279881)"
Lucerne,BLUE BALLS,2012-07-26,KEB'MO,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2012-07-26,EVERLAST,"(47.05016819999999, 8.3093072)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-26,BATTISTA AQUAVIVA,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-26,MALCOLM BRAFF,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2012-07-26,PEP'S,"(46.2043907, 6.1431577)"
Geneve,MUSIQUES EN ETE,2012-07-26,TEDI PAPAVRAMI,"(46.2043907, 6.1431577)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-26,NADEGE ROCHAT,"(46.2105553, 6.2317139)"
Verbier,VERBIER FESTIVAL,2012-07-26,NEMANJA RADULOVIC,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-26,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-26,QUATUOR KUSS,"(46.0960814, 7.2285512)"
