location,event,date,artist,coordinates
Nyon,LES HIVERNALES A NYON,2011-02-12,THE PHAT CREW,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,REVERSE ENGINEERING,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,SUCCESS,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,JUNE & LULA,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,GOLD HANGOVER,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,DJ ALEXSUMI,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2011-02-12,BEATAUCUE,"(46.3832683, 6.2347852)"
