location,event,date,artist,coordinates
Thun,AM SCHLUSS,2013-07-25,JAMARAM,"(46.7579868, 7.6279881)"
Lucerne,BLUE BALLS,2013-07-25,JONATHAN WILSON,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-25,JAMIE LIDELL,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-25,DJ KOFFI,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-25,DJ RAPHY,"(46.2043907, 6.1431577)"
Gunzgen,MOTION OPENAIR,2013-07-25,MONIKA KRUSE,"(47.3134764, 7.843830499999999)"
Geneve,MUSIQUES EN ETE,2013-07-25,ROGER MURARO,"(46.2043907, 6.1431577)"
Nyon,PALEO FESTIVAL,2013-07-25,SANTANA,"(46.3832683, 6.2347852)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-25,BENOIT CAPT,"(46.2105553, 6.2317139)"
Verbier,VERBIER FESTIVAL,2013-07-25,KHATIA BUNIATISHVILI,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-25,JAN LISIECKI,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-25,ANNA NETREBKO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-25,HELENE GRIMAUD,"(46.0960814, 7.2285512)"
