location,event,date,artist,coordinates
Le Noirmont,CHANT DU GROS,2016-09-10,JEHRO,"(47.2256223, 6.9572116)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,CAROLINE BERGVALL,"(46.2043907, 6.1431577)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,CAROLINE BERGVALL,"(46.2043907, 6.1431577)"
Onex,FESTIVAL DE LA BATIE,2016-09-10,BERTRAND BOSSARD,"(46.183541, 6.1002345)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,POL,"(46.2043907, 6.1431577)"
Le Lignon,FESTIVAL DE LA BATIE,2016-09-10,LAURENCE YADI,"(46.203703, 6.0961889)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,MILO RAU,"(46.2043907, 6.1431577)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,POL,"(46.2043907, 6.1431577)"
Plan les Ouates,FESTIVAL DE LA BATIE,2016-09-10,RACHID OURAMDANE,"(46.1668075, 6.1145793)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,DIMITRI DE PERROT,"(46.2043907, 6.1431577)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,"RYOJI IKEDA / ""SUPERPOSITION""","(46.2043907, 6.1431577)"
Geneve,FESTIVAL DE LA BATIE,2016-09-10,KATE WAX aka AISHA DEVI,"(46.2043907, 6.1431577)"
Carouge,MURS DU SON A CAROUGE,2016-09-10,LADYBIRDS,"(46.1829674, 6.1378539)"
