location,event,date,artist,coordinates
Thun,AM SCHLUSS,2013-08-03,17 HIPPIES,"(46.7579868, 7.6279881)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2013-08-03,BOJAN Z,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2013-08-03,LYS,"(46.2043907, 6.1431577)"
Geneve,FETES DE GENEVE,2013-08-03,TERESA TAPADAS,"(46.2043907, 6.1431577)"
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2013-08-03,77 BOMBAY STREET,"(46.8496401, 6.845060800000001)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-08-03,JULIEN SZULMAN,"(46.2105553, 6.2317139)"
Sursee,SUMMER SOUND SUISSE,2013-08-03,PATENT OCHSNER,"(47.1714819, 8.111131199999999)"
Verbier,VERBIER FESTIVAL,2013-08-03,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-08-03,VILDE FRANG,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-08-03,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-08-03,QUATUOR EBENE,"(46.0960814, 7.2285512)"
