location,event,date,artist,coordinates
Bale (Basel),JAZZFESTIVAL BASEL,2011-05-07,ROSARIO GIULIANI,"(47.5595986, 7.5885761)"
Thonex,LES RENCONTRES MUSICALES A THONEX,2011-05-07,SIGNS OF MISFORTUNE,"(46.19283739999999, 6.202767)"
