location,event,date,artist,coordinates
Bale (Basel),JAZZFESTIVAL BASEL,2010-05-02,MATHIEU MICHEL,"(47.5595986, 7.5885761)"
Bale (Basel),JAZZFESTIVAL BASEL,2010-05-02,PACO DE LUCIA,"(47.5595986, 7.5885761)"
