location,event,date,artist,coordinates
Zurich,LIVE AT SUNSET,2014-07-12,JAMIE CULLUM,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,TUCSON JAZZ BAND,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,STEPHAN EICHER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,TERRI LYNE CARRINGTON,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,MILKY CHANCE,"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2014-07-12,LESZEK MOZDZER,"(46.42071019999999, 6.9286409)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,ELFERYA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,MR MIKE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,BAUCHAMP,"(46.4312213, 6.9106799)"
Sierre,SIERRE BLUES FESTIVAL,2014-07-12,JONNY LANG,"(46.29413110000001, 7.533536199999999)"
