location,event,date,artist,coordinates
Thun,AM SCHLUSS,2012-07-29,KUMMERBUBEN,"(46.7579868, 7.6279881)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-29,OCHUMARE,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-29,DAVID NEERMAN,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-29,MALCOLM BRAFF,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2012-07-29,JUKEBOX HEROES,"(46.2043907, 6.1431577)"
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2012-07-29,MANI (MANI HOFFMAN),"(46.8496401, 6.845060800000001)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-29,QUATUOR AVIV,"(46.2105553, 6.2317139)"
Verbier,VERBIER FESTIVAL,2012-07-29,QUATUOR KUSS,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-29,ROBY LAKATOS,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-29,JOSHUA BELL,"(46.0960814, 7.2285512)"
