location,event,date,artist,coordinates
Geneve,FESTIVAL DE JAZZ DE L'AMR,2013-03-22,ENRICO PIERANUNZI,"(46.2043907, 6.1431577)"
Lausanne,THIS IS TIGERR,2013-03-22,EGYPTIAN HIP HOP,"(46.5196535, 6.6322734)"
