location,event,date,artist,coordinates
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,MALCOLM BRAFF,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,PORTICO,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,SPOK FREVO,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,MALCOLM BRAFF,"(45.923697, 6.869433)"
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2010-07-29,MICKY GREEN,"(46.8496401, 6.845060800000001)"
Geneve,MUSIQUES EN ETE,2010-07-29,QUATUOR YSAYE,"(46.2043907, 6.1431577)"
Verbier,VERBIER FESTIVAL,2010-07-29,SARAH CHANG,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2010-07-29,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2010-07-29,LEONIDAS KAVAKOS,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2010-07-29,ELISABETH LEONSKAJA,"(46.0960814, 7.2285512)"
