location,event,date,artist,coordinates
Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2015-02-28,PAUL THOMSON (FRANZ FERDINAND),"(46.2382, 6.8519)"
Martigny,ECHOOOES FESTIVAL,2015-02-28,DJ OTHELLO,"(46.1049798, 7.075533399999999)"
Nyon,LES HIVERNALES A NYON,2015-02-28,PARTY KILLERS,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,PEACE,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,ROBBING MILLIONS,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,DOPE DOD,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,CHEYENNE,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,NIKIMIX,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,DJ REAS,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,DJEREM,"(46.3832683, 6.2347852)"
Nyon,LES HIVERNALES A NYON,2015-02-28,THE TWO,"(46.3832683, 6.2347852)"
