location,event,date,artist,coordinates
Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2010-05-08,PABLO MARQUEZ,"(46.5196535, 6.6322734)"
Thonex,LES RENCONTRES MUSICALES A THONEX,2010-05-08,DAKOTA BARTENDERS,"(46.19283739999999, 6.202767)"
Geneve,MAPPING FESTIVAL,2010-05-08,JAMIE FANATIC,"(46.2043907, 6.1431577)"
Geneve,MAPPING FESTIVAL,2010-05-08,DACHSUND,"(46.2043907, 6.1431577)"
Bale (Basel),SONIC,2010-05-08,BLACKMAIL,"(47.5595986, 7.5885761)"
Vernier,VERNIER SUR ROCK,2010-05-08,NAIVE NEW BEATERS,"(46.2122638, 6.1052686)"
