location,event,date,artist,coordinates
Geneve,MUSIQUES EN ETE,2007-08-17,KAJEEM,"(46.2043907, 6.1431577)"
Gampel,OPEN AIR DE GAMPEL,2007-08-17,THE ANSWER,"(46.3157745, 7.741944099999999)"
Avenches,ROCK OZ ARENES,2007-08-17,SILVERCHAIR,"(46.8806009, 7.0427075)"
