location,event,date,artist,coordinates
Geneve,FETES DE GENEVE,2015-07-17,GRUPO COMPAY SEGUNDO,"(46.2043907, 6.1431577)"
Fribourg,LES GEORGES,2015-07-17,WAZOMBA OVERDRIVE ORCHESTRA,"(46.8064773, 7.161971899999999)"
Zurich,LIVE AT SUNSET,2015-07-17,ANASTACIA,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,"LOUIS, MATTHIEU, JOSEPH & ANNA CHEDID","(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,SOMI,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-17,AaRON,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2015-07-17,LO&LEDUC,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2015-07-17,ALVIN YOUNGBLOOD HART,"(46.2043907, 6.1431577)"
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-17,ELYNN THE GREEN,"(46.1049798, 7.075533399999999)"
Sion,SION SOUS LES ETOILES,2015-07-17,MARK KNOPFLER,"(46.2331221, 7.360625999999999)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-17,ERNIE WATTS,"(46.8496401, 6.845060800000001)"
Verbier,VERBIER FESTIVAL,2015-07-17,VERBIER FESTIVAL ORCHESTRA / VFO,"(46.0960814, 7.2285512)"
