location,event,date,artist,coordinates
Geneve,FETES DE GENEVE,2014-07-17,AIR BOX,"(46.2043907, 6.1431577)"
Fribourg,LES GEORGES,2014-07-17,RUSCONI,"(46.8064773, 7.161971899999999)"
Zurich,LIVE AT SUNSET,2014-07-17,BACKSTREET BOYS,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,ANNAKIN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,MICHAEL KIWANUKA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,BENJAMIN CLEMENTINE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,VON PARIAHS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,KRUGER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,MIRKO LOKO,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,N'TO,"(46.4312213, 6.9106799)"
