location,event,date,artist,coordinates
Geneve,MUSIQUES EN ETE,2009-08-12,NOJAZZ,"(46.2043907, 6.1431577)"
Avenches,ROCK OZ ARENES,2009-08-12,PHILIPP FANKHAUSER,"(46.8806009, 7.0427075)"
