location,event,date,artist,coordinates
Puplinge,4 VENTS,2011-06-24,RAUL DE SOUZA,"(46.2105553, 6.2317139)"
Avully,GENA FESTIVAL,2011-06-24,MMD 38,"(46.1696093, 6.0013782)"
Cully,LAVAUX CLASSIQUE,2011-06-24,CEDRIC TIBERGHIEN,"(46.4895985, 6.7290888)"
Cully,LAVAUX CLASSIQUE,2011-06-24,HENRI DEMARQUETTE,"(46.4895985, 6.7290888)"
Cully,LAVAUX CLASSIQUE,2011-06-24,VINCENT THEVENAZ,"(46.4895985, 6.7290888)"
Cully,LAVAUX CLASSIQUE,2011-06-24,LA VENEXIANA,"(46.4895985, 6.7290888)"
Mendrisio,LUGANO ESTIVAL JAZZ,2011-06-24,OMAR SOSA,"(45.8713339, 8.984132899999999)"
Porrentruy,PORRENTRUY-DELLE JAZZ FESTIVAL,2011-06-24,AL COPLEY,"(47.416647, 7.0765657)"
Sierre,SISMICS FESTIVAL,2011-06-24,THE RAMBLING WHEELS,"(46.29413110000001, 7.533536199999999)"
Bale (Basel),SONISPHERE SUISSE,2011-06-24,IRON MAIDEN,"(47.5595986, 7.5885761)"
Sursee,SUMMER SOUND SUISSE,2011-06-24,BOB DYLAN,"(47.1714819, 8.111131199999999)"
