location,event,date,artist,coordinates
Thun,AM SCHLUSS,2013-07-26,GUSTAV',"(46.7579868, 7.6279881)"
Lucerne,BLUE BALLS,2013-07-26,TIEMO HAUER,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-26,PATRICK WOLF,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-26,SEPTETO INTERNACIONAL,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-26,ALEPOK,"(46.2043907, 6.1431577)"
Gunzgen,MOTION OPENAIR,2013-07-26,STEVE AOKI,"(47.3134764, 7.843830499999999)"
Geneve,MUSIQUES EN ETE,2013-07-26,BERTRAND BELIN,"(46.2043907, 6.1431577)"
Lumnezia,OPEN AIR LUMNEZIA,2013-07-26,THE HIVES,"(46.71766, 9.17366)"
Etziken,OPENAIR ETZIKEN,2013-07-26,77 BOMBAY STREET,"(47.1876571, 7.6484107)"
Nyon,PALEO FESTIVAL,2013-07-26,CHRISTINE SALEM,"(46.3832683, 6.2347852)"
Verbier,VERBIER FESTIVAL,2013-07-26,FRANCOIS LELEUX,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-26,EVGENY KISSIN,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2013-07-26,LISA BATIASHVILI,"(46.0960814, 7.2285512)"
