location,event,date,artist,coordinates
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,DUO GAZZANA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,NATHANAEL ROCHAT,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,ST LO,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,DOM LA NENA,"(46.5196535, 6.6322734)"
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,KOQA,"(46.5196535, 6.6322734)"
Zurich,LIVE AT SUNSET,2013-07-11,BRYAN ADAMS,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,GWILYM SIMCOCK,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,ALICE FRANCIS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,CHIEF,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,BONNIE RAITT,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,VIJAY IYER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,SUPERPOZE,"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-11,BUGGE WESSELTOFT,"(46.42071019999999, 6.9286409)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,HATHORS,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,GILDAS & MASAYA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,SOLANGE LA FRANGE / LA PATRONNE,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2013-07-11,MARK KNOPFLER,"(46.16699879999999, 8.7942643)"
Geneve,MUSIQUES EN ETE,2013-07-11,QUATUOR ARDEO,"(46.2043907, 6.1431577)"
