location,event,date,artist,coordinates
Zurich,LIVE AT SUNSET,2013-07-15,DEEP PURPLE,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BELO,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BELO,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,PRINCE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,VALERIE JUNE,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,YAN WAGNER,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,WHITE DENIM,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,SALVATORE FREDA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BOSTON BUN,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2013-07-15,KENNY BARRON,"(46.2043907, 6.1431577)"
