location,event,date,artist,coordinates
Thun,AM SCHLUSS,2012-07-27,CARAVANA,"(46.7579868, 7.6279881)"
Lucerne,BLUE BALLS,2012-07-27,ANNA CALVI,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2012-07-27,DE LA SOUL,"(47.05016819999999, 8.3093072)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,HAMELMAL HABATE,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,LAURENT SARRIEN,"(45.923697, 6.869433)"
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-27,MALCOLM BRAFF,"(45.923697, 6.869433)"
Geneve,FETES DE GENEVE,2012-07-27,AYA WASKA,"(46.2043907, 6.1431577)"
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2012-07-27,CATHERINE RINGER,"(46.8496401, 6.845060800000001)"
Geneve,MUSIQUES EN ETE,2012-07-27,SELAH SUE,"(46.2043907, 6.1431577)"
Etziken,OPENAIR ETZIKEN,2012-07-27,THE DELILAHS,"(47.1876571, 7.6484107)"
Verbier,VERBIER FESTIVAL,2012-07-27,ALICE SARA OTT,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-27,GAUTIER CAPUCON,"(46.0960814, 7.2285512)"
Verbier,VERBIER FESTIVAL,2012-07-27,NIKOLAI LUGANSKY,"(46.0960814, 7.2285512)"
